rating,review
30,"This is the hotel to stay at if you want to get in early to Tikal and a must if you want the sunrise visit. Because of that it really doesn’t have to try too hard and it doesn’t. Don’t get me wrong, everything is ok, food is ok, rooms were ok it is just with a bit more effort it could have been so much better. As I say, stay for the location and put up with it, your visit to Tikal will blow you away anyway!"
50,"This place is great, located at the entrance of Tikal national park, with beautiful rooms, a nice pool integrated in the scenery of the jungle, great bird watching, monkeys in trees around, highly recommend it if you go visit Tikal, which by itself is a must see!"
50,"We spent one night there as we explored Tikal.  We stayed in a standard room with king bed.  We were very impressed with the cleanliness and condition of the room, and we greatly appreciated the special touches it had for our honeymoon.  It had a nice lounge area with wifi where we could cool off after exploring the sites.  We also had dinner and brunch at its restaurant, which were great.  Our one disappointment was that we had no hot water for the shower. We arranged a sunset tour through the lodge when we arrived.  We had a great guide and would recommend this tour if the weather permits. We went into the park on our own the next morning at 6 AM and enjoyed the park in peace before the large tour groups arrived.  We're glad we spent a night at the park instead of just doing a"
50,"We stayed at Hotel Jungle Lodge Tikal this month and were so pleased!  I was wondering about a stay in the National Park jungle, and I am so glad we did it.  It is beautiful, modern, super clean, and so refreshing.  Lush foliage creates a natural experience of sights, sounds, and quiet.  Be aware there is no A/C, and occasionally there is no hot water.  The electricity is on only at certain times, but this was never a problem.  You always have one light and fan available.  Internet is available in the Lodge, and it is fast.    People there were friendly and spoke English.  Restaurant is a lovely open air place with really good food.  We had the best tour guide ever for our sunrise tour of Tikal.  They packed our breakfast and took us places unavailable to the public.  You need a"
40,"Honestly, If it wasn't for the completely perfect location, I would have given this place three stars.  First of all Tikal is fabulous.  Being in the jungle location couldn't be better.  The howlers may wake you up a couple of times a night, but that is what the jungle is all about.  I had one main problem with the room.  The beds - they are not good at all.  We stayed two nights and our room had two beds.  After the first night we moved to the other bed.  Both were quite lousy.  The other issue we had was with the restaurant and doesn't reflect on my star rating.  Don't pay without seeing a bill.  The first meal we had the waiter brought us a calculator to show us the amount.  I knew it was too high, but I didn't know if there was a service fee or tax added.  After paying, I"
50,"We only had a one night stay planned here: we would definitely spend more time here on future visits.  We did not find an internet connection, even in the restaurant next to the router! Probably one of the best things that could happen...could concentrate more on the fabulous environment we were in. Yes, the electricity was intermittent...not a concern for us. The meals were excellent, staff helpful and friendly....would return here in a heartbeat! The guide from the hotel was perfect...we had a tour in the daytime as well as a sunset tour...learned a great deal from this man."
50,"Tikal Inn was a great place to stay while visiting Tikal.  They picked us up at the airport and helped us with all of our needs during our stay.  They set us up with English speaking tour guides for birding, a Sunrise tour and an Archaeological tour.  We would recommend all three things.  All of our tour guides were great, but we especially enjoyed our time with Ronald.  He was very knowledgeable and entertaining.  It was great to get to know him. We enjoyed the food at the hotel and the wait staff was fantastic.  Good at their job while being personable and fun.  Because we stayed three nights we did try out some other places as well that were also solid.  I know some people mention the lack of electricity during certain hours.  This did not hinder our experience at all and was"
50,"I want to thank all the staff of that wonderful hotel for my 3 night stay in March. I showed up at the hotel having just gotten food poisoning from my previous location, and I couldn’t have landed in a better place with better people.   The staff was incredible, and offered the best service despite my attenuated circumstances. They nursed me back to health with their excellent food, and the maître d’hôtel was a calm, accommodating, friendly presence throughout. He never missed an opportunity to come see how I was doing, or ask if there was anything he could do to help.   My planned 2 nights turned into 3, as I found a home among the thick jungle of Guatemala. I even saw a juvenile jaguar only 100 metres from my accommodation on my last night.  The other reviews are corrected in"
30,"I looked at the bad reviews for this hotel and thought this is from people who are not familiar with this kind of travel or place. Maybe they were on a type of packaged tour, as all the complaints seem to be about no electric and it being hot.   As it is in the middle of a Central American jungle you’d expect it to be hot and on the hotel’s website it clearly states the hours when there is electric and Internet, they are up front about it.  Also those bad reviews are not recent.   I read in a recent review or on the hotels website that the hotel has new management.   It is a lot cheaper than the other options here, so I decided to stay there and did the meal package, which also seems to have lots of complaints. This isn’t a top restaurant in some trendy location. I feel sorry"
50,"We had a great stay at the Tikal Inn. We made a mistake with our booking dates and they were so helpful and accommodating.  That level of service only continued when we arrived.  It was clear the owners/managers are proud of their hotel, and the national park and were happy to give us advice and tips.  Rooms were clean, grounds were lovely and the pool was just what we needed on a hot afternoon.  That and watching monkeys swing through the trees! It is a (very) short walk to the entrance to the ruins, and there is a great path if you want to walk back into the jungle. People should know that wifi is only available in the main building, hot water is limited and electricity is only available at certain times of the day.  Personally, we thought that was part of the charm.  Overall"
